Time,Position(um)
0.0015858998522162437,-0.00427259132663961
1.0032955002970994,0.196539201025422
2.0043640001676977,0.396740623187964
3.0051808999851346,0.596942045350505
4.006060800049454,0.795922727134007
5.006403900217265,0.995513779107028
6.0070054000243545,1.19632557145909
7.007856499869376,1.39652699362163
8.008503600023687,1.59611804559465
9.008822100237012,1.79509872737816
10.009554599877447,1.99591051973022
11.010032800026238,-0.00427259132663961
12.01040290016681,0.196539201025422
13.010868099983782,0.396740623187964
14.011754400096834,0.596942045350505
15.012241300195456,0.796533097323527
16.012523900251836,0.995513779107028
17.01325919991359,1.19632557145909
18.013678399845958,1.39652699362163
19.014634400140494,1.59550767540513
20.015120700001717,1.79509872737816
21.015820399858057,1.99591051973022
